Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
17,0.0,0.0,0.0,687.0,17.0,52.0,687.0,0.1,48.10750003661092,0.0,0.0,72.5045280456543,,,,,,,,,,,,,,,,,,,,,17.71644399598607,15.894021117822689,47.28075918643332,0.11204102481715328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,718.0,18.0,31.0,718.0,0.1,21.13072736941245,0.0,0.0,76.37425231933594,,,,,,,,,,,,,,,,,,,,,6.980806989634387,7.086539010033145,20.9562138241683,0.05781487699970978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,741.0,19.0,23.0,741.0,0.1,15.803147008765768,0.0,0.0,79.38063383102417,,,,,,,,,,,,,,,,,,,,,5.1857246872667835,5.4751690079448965,15.71529020608059,0.05023052259461825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,773.0,20.0,32.0,773.0,0.1,27.829277232198258,0.0,0.0,83.3495671749115,,,,,,,,,,,,,,,,,,,,,10.370540601170468,9.499619957976467,27.55249737521386,0.08380250347023198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,73.0,1.0,73.0,846.0,0.1,68.67604177262672,0.0,0.0,175.65528011322021,,,,,,,,,,,,,,,,,,,,,29.643962942488997,19.43375227342484,66.64525634525917,0.16178337700840384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,100.0,2.0,27.0,873.0,0.1,18.43148244818535,0.0,0.0,178.98620676994324,,,,,,,,,,,,,,,,,,,,,6.021963694580379,6.236381194738062,18.30548208712384,0.07113833935064787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,159.0,3.0,59.0,932.0,0.1,52.54352874119719,0.0,0.0,185.0170497894287,,,,,,,,,,,,,,,,,,,,,19.322281727062084,16.931464516447875,51.50647556395289,0.13085936963477565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,205.0,4.0,46.0,978.0,0.1,33.25248777482758,0.0,0.0,190.16096830368042,,,,,,,,,,,,,,,,,,,,,14.021745433686014,9.828857478970598,32.67280041290342,0.09775281698892214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,235.0,5.0,30.0,1008.0,0.1,19.216892897453015,0.0,0.0,193.89077377319336,,,,,,,,,,,,,,,,,,,,,6.00893396227749,6.295081577315879,19.07475531445829,0.05762787208207576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,258.0,6.0,23.0,1031.0,0.1,14.279238650836914,0.0,0.0,197.14349818229675,,,,,,,,,,,,,,,,,,,,,4.362370229824758,4.844953286392248,14.207304537321047,0.03942017430848668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,278.0,7.0,20.0,1051.0,0.1,12.073626608464007,0.0,0.0,199.79829287528992,,,,,,,,,,,,,,,,,,,,,3.862039488473343,4.265944683642688,12.020414627534983,0.02518863738007289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,377.0,8.0,99.0,1150.0,0.1,91.35227232116335,0.0,0.0,209.57071566581726,,,,,,,,,,,,,,,,,,,,,45.567321219853454,27.172722256768285,87.01505060656041,0.23915701517066382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,408.0,9.0,31.0,1181.0,0.1,23.008839041706654,0.0,0.0,212.9918167591095,,,,,,,,,,,,,,,,,,,,,8.111626454234557,7.734099024130515,22.80296174214794,0.05596938357920829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,468.0,10.0,60.0,1241.0,0.1,57.11146618661058,0.0,0.0,219.29023027420044,,,,,,,,,,,,,,,,,,,,,24.846152710731133,17.260857607199718,55.73210550286693,0.12681230160436643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
